quality_issue_id,normalized_row_id,episode_id,issue_type,severity,raw_value,suggested_value,status
dq_61702fda6469a09e,nr_a89f00f9b4fea491,ep_a1d6111e73380180,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_9d99eeda9bc7a1f5,nr_ae1d67c72944ebbe,ep_ee1a4ae121033940,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_c7dd1bcc0025cae3,nr_5c42e1d5f71266cc,ep_0b08acafcdf1a8ab,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_6713931dc7b63b44,nr_5c42e1d5f71266cc,ep_0b08acafcdf1a8ab,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_541ecfd54ce7c003,nr_e43a46b4ac95965b,ep_587e15dce2eb5746,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_f0f51c153357e829,nr_e43a46b4ac95965b,ep_587e15dce2eb5746,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_7b314fb06dfcd79a,nr_e7bc9f32bb243119,ep_b8f97d898741d023,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_4c3fd82c8e5d4a7c,nr_e7bc9f32bb243119,ep_b8f97d898741d023,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_ee624edb282a828b,nr_de963930ae53e5af,ep_c51c8b2732a028c1,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_f0a7aaea23aefd6b,nr_607000de0edb84ef,ep_6a5357b1bf8a0913,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_bfb420167740385d,nr_607000de0edb84ef,ep_6a5357b1bf8a0913,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_610e12a45d4985c4,nr_9352bca20d892f90,ep_f287a2c84382d608,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_9f9051cd079d9048,nr_9352bca20d892f90,ep_f287a2c84382d608,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_3035432d481a9fd5,nr_675c8911a49cfc3f,ep_2b53b828f143f191,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_6061f91c023080aa,nr_5dc763ca3a7c7923,ep_3d316f34d6b1ea6e,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_e840ee6dc2cf77a8,nr_5dc763ca3a7c7923,ep_3d316f34d6b1ea6e,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_25bdc069a9c05d36,nr_510fe16d4bd6c613,ep_656ad2c0ff7e7ddd,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
